joint,p,opis,dir,vmax_target,q_start,D,omega,T,B,v_peak,a_peak,acc_limited,folder
1,1,V1_mid,+1,0.4,0,2.7052,0.196954,31.9018,0.2997,0.3996,0.0908782,0,rizon10s_gen_traj/q1/p01/v_0.40/fourier
1,1,V1_mid,-1,0.4,0,2.7052,0.196954,31.9018,0.2997,0.3996,0.0908782,0,rizon10s_gen_traj/q1/p01/v_0.40/fourier
1,1,V1_mid,+1,0.7,0,2.7052,0.34467,18.2296,0.524475,0.6993,0.278314,0,rizon10s_gen_traj/q1/p01/v_0.70/fourier
1,1,V1_mid,-1,0.7,0,2.7052,0.34467,18.2296,0.524475,0.6993,0.278314,0,rizon10s_gen_traj/q1/p01/v_0.70/fourier
1,1,V1_mid,+1,0.95,0,2.7052,0.467766,13.4323,0.711788,0.94905,0.51261,0,rizon10s_gen_traj/q1/p01/v_0.95/fourier
1,1,V1_mid,-1,0.95,0,2.7052,0.467766,13.4323,0.711788,0.94905,0.51261,0,rizon10s_gen_traj/q1/p01/v_0.95/fourier
1,1,V1_mid,+1,1.2,0,2.7052,0.590862,10.6339,0.8991,1.1988,0.817904,0,rizon10s_gen_traj/q1/p01/v_1.20/fourier
1,1,V1_mid,-1,1.2,0,2.7052,0.590862,10.6339,0.8991,1.1988,0.817904,0,rizon10s_gen_traj/q1/p01/v_1.20/fourier
1,1,V1_mid,+1,1.48,0,2.7052,0.72873,8.6221,1.10889,1.47852,1.24412,0,rizon10s_gen_traj/q1/p01/v_1.48/fourier
1,1,V1_mid,-1,1.48,0,2.7052,0.72873,8.6221,1.10889,1.47852,1.24412,0,rizon10s_gen_traj/q1/p01/v_1.48/fourier
1,2,V1_near_lower,+1,0.4,-2.618,5.3232,0.10009,62.7752,0.2997,0.3996,0.0461834,0,rizon10s_gen_traj/q1/p02/v_0.40/fourier
1,2,V1_near_lower,+1,0.7,-2.618,5.3232,0.175158,35.8716,0.524475,0.6993,0.141437,0,rizon10s_gen_traj/q1/p02/v_0.70/fourier
1,2,V1_near_lower,+1,0.95,-2.618,5.3232,0.237714,26.4317,0.711787,0.94905,0.260503,0,rizon10s_gen_traj/q1/p02/v_0.95/fourier
1,2,V1_near_lower,+1,1.2,-2.618,5.3232,0.300271,20.9251,0.8991,1.1988,0.415651,0,rizon10s_gen_traj/q1/p02/v_1.20/fourier
1,2,V1_near_lower,+1,1.48,-2.618,5.3232,0.370334,16.9663,1.10889,1.47852,0.632251,0,rizon10s_gen_traj/q1/p02/v_1.48/fourier
1,3,V1_near_upper,-1,0.4,2.618,5.3232,0.10009,62.7752,0.2997,0.3996,0.0461834,0,rizon10s_gen_traj/q1/p03/v_0.40/fourier
1,3,V1_near_upper,-1,0.7,2.618,5.3232,0.175158,35.8716,0.524475,0.6993,0.141437,0,rizon10s_gen_traj/q1/p03/v_0.70/fourier
1,3,V1_near_upper,-1,0.95,2.618,5.3232,0.237714,26.4317,0.711787,0.94905,0.260503,0,rizon10s_gen_traj/q1/p03/v_0.95/fourier
1,3,V1_near_upper,-1,1.2,2.618,5.3232,0.300271,20.9251,0.8991,1.1988,0.415651,0,rizon10s_gen_traj/q1/p03/v_1.20/fourier
1,3,V1_near_upper,-1,1.48,2.618,5.3232,0.370334,16.9663,1.10889,1.47852,0.632251,0,rizon10s_gen_traj/q1/p03/v_1.48/fourier
1,4,V2_mid,+1,0.4,0,2.7052,0.196954,31.9018,0.2997,0.3996,0.0908782,0,rizon10s_gen_traj/q1/p04/v_0.40/fourier
1,4,V2_mid,-1,0.4,0,2.7052,0.196954,31.9018,0.2997,0.3996,0.0908782,0,rizon10s_gen_traj/q1/p04/v_0.40/fourier
1,4,V2_mid,+1,0.7,0,2.7052,0.34467,18.2296,0.524475,0.6993,0.278314,0,rizon10s_gen_traj/q1/p04/v_0.70/fourier
1,4,V2_mid,-1,0.7,0,2.7052,0.34467,18.2296,0.524475,0.6993,0.278314,0,rizon10s_gen_traj/q1/p04/v_0.70/fourier
